sub,ses,task,acq,run,fd-per,fd-mean,fd-std,fd-max,fd-min,dvars-per,dvars-mean,dvars-std,dvars-max,dvars-min,std_dvars-per,std_dvars-mean,std_dvars-std,std_dvars-max,std_dvars-min
011,0000,rest,,,1.5748031496062993,0.13842661882608695,0.1327001963178819,1.2008266,0.02511705000000001,99.60629921259843,23.78670749407114,15.24987926141783,239.563202,16.619085000000002,6.299212598425197,1.087428747035573,0.6971606564941176,10.951827,0.7597549999999998
012,0000,task2,,,0.0,0.054024149748559666,0.03990536392516758,0.3325050861,0.004594184800000036,99.59016393442623,15.579914893004117,34.36023342883154,540.574158,9.246327,1.2295081967213115,1.013930144032922,2.2361404007560384,35.180195,0.601745
012,0000,task1,,,0.0,0.05292847616872429,0.03784697723174042,0.382154958,0.008485349000000007,99.59016393442623,15.822950267489707,35.062125089281906,552.246887,10.378108000000001,1.2295081967213115,0.8424628312757206,1.8668160892437884,29.403334,0.552563
012,0000,rest,,,0.0,0.11588174890909092,0.07486745780114001,0.43725658,0.009328250000000066,99.60629921259843,18.373068770751004,30.587923659712423,492.249115,12.160321000000001,1.1811023622047243,0.7841031818181824,1.3053936983840821,21.007601,0.5189630000000001
034,0000,rest,,,0.3937007874015748,0.17147248961027664,0.09289953920462968,0.5067626999999999,0.034338867000000044,99.60629921259843,28.18020014229248,26.859968295417513,445.405182,17.092487,0.7874015748031497,1.0101422569169956,0.9628174763180922,15.965912,0.612694
034,0000,task2,,,0.4098360655737705,0.13779269552674892,0.08422763999265998,0.7245764999999998,0.02443519999999997,99.59016393442623,25.97894827160494,29.160266243574796,466.579956,15.448799,2.8688524590163933,1.047293872427983,1.1755428926081692,18.809319,0.62279
034,0000,task1,,,0.0,0.11379089320987658,0.07218836096581184,0.4579859000000001,0.025175999999999976,99.59016393442623,25.370935950617298,28.28563000876231,454.550751,14.522301,1.639344262295082,1.0464827078189305,1.1667059819911156,18.748993,0.599006
013,0000,task2,,,0.0,0.12618712920987657,0.05406315784869251,0.3530548,0.014658190000000034,99.59016393442623,20.388169576131677,25.856715171477784,417.654144,14.436607,0.819672131147541,1.1566768106995882,1.4669224249080848,23.694666,0.8190279999999999
013,0000,task1,,,1.2295081967213115,0.13454386400411522,0.09043028875094226,0.82602475,0.02347894999999996,99.59016393442623,20.387859267489716,26.1998054190254,420.89694199999997,12.827744000000001,1.639344262295082,1.0178690452674903,1.3080318914054736,21.013385999999997,0.640428
013,0000,rest,,,0.0,0.11651034615415025,0.05178924819439547,0.323801729,0.02093430000000003,99.60629921259843,18.939848790513828,24.780003934682348,406.790833,13.595798,0.7874015748031497,1.0062707312252963,1.3165571685293422,21.612724,0.722342
014,0000,task1,,3,0.0,0.13397655869514402,0.07297433429414067,0.42502461992,0.026454600000000016,99.59016393442623,18.835031650205764,26.88892614265921,431.135071,11.724162,0.819672131147541,0.7976901399176956,1.1387839257840877,18.259178,0.4965350000000001
014,0000,task2,,,2.8688524590163933,0.16638513773786004,0.16950867968579905,1.721324395,0.02131920000000001,99.59016393442623,20.762513304526756,27.0823086384778,427.395447,10.496478999999999,4.098360655737705,1.0425187366255149,1.3598456563620887,21.460203,0.527045
014,0000,rest,,,1.5748031496062993,0.1574015053596838,0.10017714988417598,0.5676499499999998,0.02712256000000003,99.60629921259843,18.41081667984189,24.927244520935798,406.89614900000004,11.543046,0.7874015748031497,0.8342356600790513,1.1295096570048828,18.437382,0.523041
015,0000,task1,,,0.4098360655737705,0.07447808558024693,0.05414094553344598,0.5026206,0.0065917999999999975,99.59016393442623,19.183946757201635,25.006759784211194,404.386017,14.782995000000001,0.819672131147541,1.0450628971193419,1.3622659196020346,22.029295,0.8053170000000001
015,0000,task2,,,0.4098360655737705,0.07934087588888894,0.06114927198516672,0.5097803,0.009320799999999985,99.59016393442623,18.59373503703703,24.1059118380152,389.084778,11.474876,1.639344262295082,1.0553621934156372,1.3682278856269905,22.08407,0.651303
015,0000,rest,,,0.0,0.0901114891660079,0.04043135320026452,0.283717031,0.01519237599999997,99.60629921259843,19.056836351778646,23.637667803558198,390.341522,13.973228,0.7874015748031497,0.9902551660079058,1.22829009853263,20.283414999999998,0.7260939999999999
040,0000,rest,,,3.937007874015748,0.21627318015375513,0.25437411732292314,2.70565677,0.012846999999999987,99.60629921259843,23.147269098814238,27.762956514766728,400.283966,13.826381,5.905511811023622,1.113940837944665,1.3360665039214366,19.263294000000002,0.6653819999999999
040,0000,task1,,,8.19672131147541,0.1910243140576132,0.47241105981610426,6.15224167,0.0024955299999999967,99.59016393442623,23.26624757201645,31.936940010088772,434.436371,12.79998,13.114754098360656,1.0156150493827165,1.3941069180154169,18.963957,0.558743
